"ZipCode","Category","YearsAhead","AbsoluteValue","NormalizedValue","Rank","Metric"
"60633","Median Home Price",1,135892.105263158,0.884811230566131,8,"Median Home Price in Dollars"
"60634","Median Home Price",1,318373.684210526,0.627985570977927,31,"Median Home Price in Dollars"
"60636","Median Home Price",1,55369.7368421053,0.998138890818928,2,"Median Home Price in Dollars"
"60637","Median Home Price",1,200518.421052632,0.793855769334758,14,"Median Home Price in Dollars"
"60638","Median Home Price",1,265451.473684151,0.702468604847456,25,"Median Home Price in Dollars"
"60639","Median Home Price",1,281009.210526316,0.680572553480315,27,"Median Home Price in Dollars"
"60640","Median Home Price",1,295155.263157895,0.660663314867673,29,"Median Home Price in Dollars"
"60641","Median Home Price",1,340897.368421053,0.596285603851966,35,"Median Home Price in Dollars"
"60642","Median Home Price",1,574130.263157895,0.268032240559158,47,"Median Home Price in Dollars"
"60643","Median Home Price",1,234789.473684211,0.745622486021126,19,"Median Home Price in Dollars"
"60644","Median Home Price",1,157784.210526316,0.85400015140725,12,"Median Home Price in Dollars"
"60645","Median Home Price",1,241326.315789474,0.736422495561856,20,"Median Home Price in Dollars"
"60646","Median Home Price",1,465471.052631579,0.420959859745331,42,"Median Home Price in Dollars"
"60647","Median Home Price",1,532102.631578792,0.3271821792187,45,"Median Home Price in Dollars"
"60649","Median Home Price",1,121893.421052632,0.904513061986454,5,"Median Home Price in Dollars"
"60651","Median Home Price",1,234689.473684114,0.745763226616048,18,"Median Home Price in Dollars"
"60652","Median Home Price",1,201739.473684211,0.792137252598405,15,"Median Home Price in Dollars"
"60653","Median Home Price",1,333223.684210526,0.607085592651978,34,"Median Home Price in Dollars"
"60654","Median Home Price",1,552768.421052829,0.2980970241954,46,"Median Home Price in Dollars"
"60655","Median Home Price",1,272411.842105263,0.69267254093218,26,"Median Home Price in Dollars"
"60656","Median Home Price",1,319992.105263158,0.625707795562286,32,"Median Home Price in Dollars"
"60657","Median Home Price",1,508451.315789312,0.360469181735891,43,"Median Home Price in Dollars"
"60659","Median Home Price",1,262473.684210526,0.706659563464156,24,"Median Home Price in Dollars"
"60660","Median Home Price",1,255571.052631579,0.716374368204359,23,"Median Home Price in Dollars"
"60707","Median Home Price",1,293594.539473684,0.662859886663821,28,"Median Home Price in Dollars"
"60827","Median Home Price",1,64567.8421052632,0.985193422762376,3,"Median Home Price in Dollars"
"6761","Median Home Price",2,480493.421052952,0.433814495907762,42,"Median Home Price in Dollars"
"12311","Median Home Price",2,655089.473684803,0.199757287332374,50,"Median Home Price in Dollars"
"60608","Median Home Price",2,331078.947368421,0.634114182551323,30,"Median Home Price in Dollars"
"60609","Median Home Price",2,266760.526315789,0.720337151883272,22,"Median Home Price in Dollars"
"60610","Median Home Price",2,615114.473684673,0.253346339156818,48,"Median Home Price in Dollars"
"60612","Median Home Price",2,352697.447368421,0.605133196513475,34,"Median Home Price in Dollars"
"60613","Median Home Price",2,360905.263157895,0.594130092931082,36,"Median Home Price in Dollars"
"60614","Median Home Price",2,804099.342105263,0,51,"Median Home Price in Dollars"
"60615","Median Home Price",2,257674.671052632,0.73251732370479,20,"Median Home Price in Dollars"
"60616","Median Home Price",2,346080.263157535,0.61400395642862,33,"Median Home Price in Dollars"
"60617","Median Home Price",2,143296.052631579,0.885849198880629,9,"Median Home Price in Dollars"
"60618","Median Home Price",2,553740.789473384,0.335621699853382,44,"Median Home Price in Dollars"
"60619","Median Home Price",2,136340.789473585,0.895173175311527,7,"Median Home Price in Dollars"
"60620","Median Home Price",2,144292.105263065,0.88451392643314,10,"Median Home Price in Dollars"
"60621","Median Home Price",2,58144.7368421053,1,1,"Median Home Price in Dollars"
"60622","Median Home Price",2,626523.684210526,0.2380515605666,49,"Median Home Price in Dollars"
"60623","Median Home Price",2,132314.473684211,0.900570709908092,6,"Median Home Price in Dollars"
"60624","Median Home Price",2,163782.894736842,0.858385272844492,11,"Median Home Price in Dollars"
"60625","Median Home Price",2,366661.842105263,0.58641302957796,38,"Median Home Price in Dollars"
"60626","Median Home Price",2,207768.421052632,0.799419853225865,13,"Median Home Price in Dollars"
"60628","Median Home Price",2,85354.6052631579,0.963523425917515,4,"Median Home Price in Dollars"
"60629","Median Home Price",2,225988.486842019,0.774994686250778,16,"Median Home Price in Dollars"
"60630","Median Home Price",2,393403.947368596,0.550563522014563,39,"Median Home Price in Dollars"
"60631","Median Home Price",2,394552.105263158,0.549024342704641,40,"Median Home Price in Dollars"
"60632","Median Home Price",2,246035.526315789,0.748120343854704,17,"Median Home Price in Dollars"
"60633","Median Home Price",2,139484.210526316,0.890959217745542,8,"Median Home Price in Dollars"
"60634","Median Home Price",2,336997.368421053,0.626180159474217,31,"Median Home Price in Dollars"
"60636","Median Home Price",2,58689.4736842105,0.99926974531927,2,"Median Home Price in Dollars"
"60637","Median Home Price",2,213536.842105263,0.791686914770988,15,"Median Home Price in Dollars"
"60638","Median Home Price",2,280853.947368303,0.701444016894795,24,"Median Home Price in Dollars"
"60639","Median Home Price",2,302293.421052632,0.67270302711732,27,"Median Home Price in Dollars"
"60640","Median Home Price",2,305410.526315789,0.668524347555367,28,"Median Home Price in Dollars"
"60641","Median Home Price",2,363519.736842105,0.590625223243618,37,"Median Home Price in Dollars"
"60642","Median Home Price",2,606210.526315789,0.265282651776997,47,"Median Home Price in Dollars"
"60643","Median Home Price",2,248553.947368421,0.744744238881476,18,"Median Home Price in Dollars"
"60644","Median Home Price",2,170518.421052632,0.849355867746291,12,"Median Home Price in Dollars"
"60645","Median Home Price",2,257877.631578947,0.732245242099711,21,"Median Home Price in Dollars"
"60646","Median Home Price",2,475892.105263158,0.439982854890104,41,"Median Home Price in Dollars"
