ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60642,Median Home Price,,1,574130.2632,0.268032241,47,Median Home Price in Dollars
60643,Median Home Price,,1,234789.4737,0.745622486,19,Median Home Price in Dollars
60644,Median Home Price,,1,157784.2105,0.854000151,12,Median Home Price in Dollars
60645,Median Home Price,,1,241326.3158,0.736422496,20,Median Home Price in Dollars
60646,Median Home Price,,1,465471.0526,0.42095986,42,Median Home Price in Dollars
60647,Median Home Price,,1,532102.6316,0.327182179,45,Median Home Price in Dollars
60649,Median Home Price,,1,121893.4211,0.904513062,5,Median Home Price in Dollars
60651,Median Home Price,,1,234689.4737,0.745763227,18,Median Home Price in Dollars
60652,Median Home Price,,1,201739.4737,0.792137253,15,Median Home Price in Dollars
60653,Median Home Price,,1,333223.6842,0.607085593,34,Median Home Price in Dollars
60654,Median Home Price,,1,552768.4211,0.298097024,46,Median Home Price in Dollars
60655,Median Home Price,,1,272411.8421,0.692672541,26,Median Home Price in Dollars
60656,Median Home Price,,1,319992.1053,0.625707796,32,Median Home Price in Dollars
60657,Median Home Price,,1,508451.3158,0.360469182,43,Median Home Price in Dollars
60659,Median Home Price,,1,262473.6842,0.706659563,24,Median Home Price in Dollars
60660,Median Home Price,,1,255571.0526,0.716374368,23,Median Home Price in Dollars
60707,Median Home Price,,1,293594.5395,0.662859887,28,Median Home Price in Dollars
60827,Median Home Price,,1,64567.84211,0.985193423,3,Median Home Price in Dollars
6761,Median Home Price,,2,480493.4211,0.433814496,42,Median Home Price in Dollars
12311,Median Home Price,,2,655089.4737,0.199757287,50,Median Home Price in Dollars
60608,Median Home Price,,2,331078.9474,0.634114183,30,Median Home Price in Dollars
60609,Median Home Price,,2,266760.5263,0.720337152,22,Median Home Price in Dollars
60610,Median Home Price,,2,615114.4737,0.253346339,48,Median Home Price in Dollars
60612,Median Home Price,,2,352697.4474,0.605133197,34,Median Home Price in Dollars
60613,Median Home Price,,2,360905.2632,0.594130093,36,Median Home Price in Dollars
60614,Median Home Price,,2,804099.3421,0,51,Median Home Price in Dollars
60615,Median Home Price,,2,257674.6711,0.732517324,20,Median Home Price in Dollars
60616,Median Home Price,,2,346080.2632,0.614003956,33,Median Home Price in Dollars
60617,Median Home Price,,2,143296.0526,0.885849199,9,Median Home Price in Dollars
60618,Median Home Price,,2,553740.7895,0.3356217,44,Median Home Price in Dollars
60619,Median Home Price,,2,136340.7895,0.895173175,7,Median Home Price in Dollars
60620,Median Home Price,,2,144292.1053,0.884513926,10,Median Home Price in Dollars
60621,Median Home Price,,2,58144.73684,1,1,Median Home Price in Dollars
60622,Median Home Price,,2,626523.6842,0.238051561,49,Median Home Price in Dollars
60623,Median Home Price,,2,132314.4737,0.90057071,6,Median Home Price in Dollars
60624,Median Home Price,,2,163782.8947,0.858385273,11,Median Home Price in Dollars
