GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,,,,HD01_VD26,,,,HC01_EST_VC35,HC02_EST_VC35,HC03_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_MOE_VC55,HC02_EST_VC55,HC01_EST_VC02,HC02_EST_VC02,HC05_EST_VC02,HC01_EST_VC03,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC15,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC20
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,m_lt_ql_19,m_20_69,m_70_and_over,Estimate; Female:,f_lt_ql_19,f_20_69,f_70_and_over,Total; Estimate; SUMMARY INDICATORS - Median age (years),Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Old-age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Male; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; Total households,Married-couple family household; Estimate; Total households,Nonfamily household; Estimate; Total households,Total; Estimate; Average household size,Total; Estimate; FAMILIES - Total families,Total; Estimate; FAMILIES - Average family size,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years only,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years and 6 to 17 years,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - 6 to 17 years only,Total; Estimate; Total households,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over
8600000US60018,60018,ZCTA5 60018,30519,15658,4128,10318,1212,14861,3681,9422,1758,38.5,36,41.1,105.4,59.7,23.1,36.6,14956,90,4.1,1.8,0.3,1.3,2.6,0.9,26.5,10225,5596,3117,2.95,7108,3.61,3071,20.6,23.7,55.7,10225,33,43,13.6
8600000US60020,60020,ZCTA5 60020,9616,4460,998,3105,357,5156,1071,3401,684,42.5,39.9,45.7,86.5,55.1,25.9,29.2,4885,93.7,1.8,0.5,0.1,0,3.8,2.7,40.1,4318,1475,2098,2.22,2220,3.07,888,22.9,23.2,53.9,4318,22.3,38.6,16.3
8600000US60021,60021,ZCTA5 60021,5709,2744,765,1833,146,2965,757,2067,141,37,37.2,35.8,92.5,44.5,11.2,33.3,3068,86.2,5.1,0.7,0,1.5,6.5,3.4,35.2,2063,1331,527,2.77,1536,3.16,729,27.7,18.1,54.2,2063,37.1,24.5,6.7
8600000US60022,60022,ZCTA5 60022,8503,4315,1448,2429,438,4188,1295,2522,371,44.5,44.7,44.2,103,87,29.9,57.1,3749,61.5,22.7,2,0,0.7,13.2,2.9,39.9,2934,2251,543,2.9,2391,3.23,1146,10.9,17.9,71.2,2934,40.4,47.3,8.7
8600000US60025,60025,ZCTA5 60025,39928,19126,5385,11587,2154,20802,5260,12573,2969,44.1,41.7,45.4,91.9,77.5,32.5,45,18457,81.5,9.1,1.1,0.4,0.5,7.4,1,31.6,14563,8969,4082,2.72,10481,3.34,4779,18.1,16.2,65.7,14563,34.7,45.1,13.3
8600000US60026,60026,ZCTA5 60026,14427,6883,1948,4095,840,7544,1733,4362,1449,44.5,41.4,48,91.2,84.2,40.6,43.6,6260,77.1,12.4,1.3,0.1,0.3,8.9,1.6,32.3,5362,3415,1619,2.63,3743,3.3,1665,25.5,15.7,58.8,5362,32.4,50.6,19.5
8600000US60029,60029,ZCTA5 60029,531,279,104,152,23,252,93,133,26,40,38.1,40.9,110.7,94.5,24.9,69.6,226,59.3,18.1,1.3,0,1.3,19.9,4,32.5,136,119,9,3.64,127,3.83,69,15.9,23.2,60.9,136,51.5,41.2,3.7
8600000US60030,60030,ZCTA5 60030,36876,17902,4954,11326,1622,18974,4501,12333,2140,40.6,39,41.9,94.4,57.5,21.2,36.3,19176,87.4,3.5,1.1,0.5,0.5,7,1.2,33,14029,7956,4210,2.62,9819,3.18,4626,23.6,15.7,60.7,14029,34.6,36.7,11.7
8600000US60031,60031,ZCTA5 60031,37443,18654,5639,11929,1086,18789,5067,12173,1549,38.2,36.3,40.2,99.3,57.7,16.4,41.3,19707,88.9,2.3,1,0.1,0.8,7,1.1,29.6,13809,7798,4140,2.71,9669,3.29,5166,16.2,14.4,69.3,13809,39,30.3,8.9
8600000US60033,60033,ZCTA5 60033,13569,7046,2388,4112,546,6523,1896,4086,541,33.4,30.9,34.9,108,72.4,22.6,49.8,5948,86,4.1,2.6,0.1,0.5,6.7,3.1,36.8,4525,2633,1082,3,3443,3.46,1617,23.4,31.5,45.1,4525,40.1,38.4,8.2
8600000US60034,60034,ZCTA5 60034,1948,997,288,660,49,951,198,667,86,40.6,35.8,42.2,104.8,54.8,20.5,34.3,952,88.1,0.7,3.5,0.4,0.7,6.5,3.8,36.4,751,386,262,2.57,489,3.26,206,24.8,18,57.3,751,30,36,13
8600000US60035,60035,ZCTA5 60035,29824,14364,4151,8350,1863,15460,3925,9109,2426,46.3,45.2,47.3,92.9,88.3,40.6,47.7,13815,75.8,11.1,1.4,0.4,1,10.3,1,33.6,11539,7553,2993,2.56,8546,3.04,3799,21.5,15.3,63.2,11539,33.8,48.5,14.6
8600000US60040,60040,ZCTA5 60040,5377,2671,821,1599,251,2706,688,1699,319,35.6,34.6,36.5,98.7,64.3,22.6,41.7,2729,78.6,6.9,4.6,1,1.3,7.5,2,22.4,2007,866,813,2.63,1194,3.53,602,22.9,18.1,59,2007,33,33.6,9.6
8600000US60041,60041,ZCTA5 60041,9276,4585,1115,3061,409,4691,1223,3045,423,40.5,39.9,41.6,97.7,58.1,23.9,34.2,4571,93.5,1.3,0,0,0.6,4.6,3,35.4,3629,2003,1074,2.55,2555,3.05,983,24.4,22.9,52.7,3629,30.4,38.6,6.9
8600000US60042,60042,ZCTA5 60042,8365,4303,1252,2910,141,4062,912,2893,257,40.4,37.4,42.4,105.9,48,13.6,34.4,4692,95.1,0.8,0.5,0,0.6,3,2.5,37.6,3197,1703,966,2.59,2231,3.09,1055,14.8,16.1,69.1,3197,36.2,29,4.8
8600000US60043,60043,ZCTA5 60043,2613,1330,523,664,143,1283,417,706,160,42.4,41.6,43.1,103.7,92.8,28.3,64.5,944,59.4,25.4,1.8,1.8,1,10.6,2.7,40.7,797,647,116,3.28,681,3.6,373,11,18,71,797,47.7,37.5,5.8
8600000US60044,60044,ZCTA5 60044,9680,4373,887,3071,415,5307,1395,3401,511,44,44.8,42.9,82.4,59.8,24.5,35.3,4812,81.8,8.1,1.3,0.3,0.9,7.5,1.9,30.8,3741,2118,1244,2.56,2497,3.23,1105,21.1,11.1,67.8,3741,30.5,37.7,8
8600000US60045,60045,ZCTA5 60045,20622,10288,3111,6024,1153,10334,2857,6027,1450,46.1,45,47,99.6,77.2,32.6,44.7,8559,73,8.8,5.1,0.2,1.3,11.7,1.9,34.6,7182,5073,1559,2.72,5623,3.16,2490,12.4,15.3,72.3,7182,36,49.5,12
8600000US60046,60046,ZCTA5 60046,35132,17623,5290,11308,1025,17509,4872,11337,1300,39.7,38.7,40.7,100.7,58.3,17.5,40.8,17425,90.8,2.8,0.6,0,1.1,4.7,1.4,37.4,12296,7912,2891,2.84,9405,3.32,4550,17.9,16.3,65.8,12296,39.3,31.7,7.7
8600000US60047,60047,ZCTA5 60047,42317,20974,6263,13445,1266,21343,5997,13906,1440,42,40.8,42.7,98.3,59,17.7,41.3,21914,84.2,4.7,0.5,0.3,2,8.3,1.2,36.4,13705,10065,2102,3.04,11603,3.33,5470,17.6,15.3,67.1,13705,42,33.1,3.8
